,smiles,chembl_id,pIC50
2,Nc1ncc(/C=C/CNC(=O)c2cc(Br)c(Br)[nH]2)[nH]1,CHEMBL397591,5.6020599913279625
3,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,CHEMBL35482,5.552841968657781
4,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,8.602059991327963
5,NC(=O)c1cc(Br)c(Br)[nH]1,CHEMBL356164,5.6020599913279625
7,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,CHEMBL361708,8.045757490560675
8,NC1=N/C(=C2/CCNC(=O)c3[nH]ccc32)C(=O)N1,CHEMBL255465,6.084072788302884
9,Nc1nc(C2CCNC(=O)c3[nH]c(Br)c(Br)c32)c[nH]1,CHEMBL151430,5.890084136976206
10,O=C1CCNC(=O)c2[nH]ccc21,CHEMBL357047,5.6020599913279625
11,O=C1CCNC(=O)c2[nH]c(Br)cc21,CHEMBL440356,6.268411234813261
12,NC1=N/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)C(=O)N1,CHEMBL359106,8.221848749616356
14,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,CHEMBL75680,4.657577319177793
15,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,CHEMBL280074,5.154901959985743
16,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,CHEMBL14762,4.853871964321762
17,CC(C)=CCNc1nc(N)nc2c1ncn2C(C)C,CHEMBL77155,4.301029995663981
18,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,CHEMBL115220,5.0
19,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,5.860120913598763
20,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,CHEMBL103055,4.0
21,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,9.0
22,Nc1nccc(-c2c[nH]c3c(Br)ccc(O)c23)n1,CHEMBL296682,4.0
23,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc([N+](=O)[O-])cc4)CC3)c2cc1OC,CHEMBL99743,4.522878745280337
24,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Br)cc4)CC3)c2cc1OC,CHEMBL323336,4.522878745280337
25,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,CHEMBL106966,4.522878745280337
26,OCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,CHEMBL177688,5.0
27,Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1,CHEMBL332551,7.050609993355087
28,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,CHEMBL361708,8.221848749616356
29,NC1=N/C(=C2/CCNC(=O)c3[nH]ccc32)C(=O)N1,CHEMBL255465,6.084072788302884
30,Clc1cccc(Nc2cncc(-c3cncc(NCCCn4cncn4)c3)n2)c1,CHEMBL372657,5.0
31,OCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,CHEMBL177688,5.0
32,OCCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,CHEMBL188386,5.0
33,CN(C)CCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,CHEMBL190984,5.0
34,Clc1cccc(Nc2cncc(-c3cncc(NCCCc4cccnc4)c3)n2)c1,CHEMBL188502,5.0
35,Clc1cccc(Nc2cncc(-c3cncc(NCCCn4cccn4)c3)n2)c1,CHEMBL371169,5.0
36,OCCCNc1cc(-c2ncnc(Nc3cccc(Cl)c3)n2)ccn1,CHEMBL191336,5.0
37,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O,CHEMBL365847,5.0
38,CC(CN(C)C)Oc1ccc(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,CHEMBL425904,4.301029995663981
39,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1,CHEMBL192161,4.301029995663981
40,Cc1ccc(C(=O)Nc2ccon2)cc1Nc1ncnc(NC2CCCC2)c1C#N,CHEMBL383172,5.301029995663981
41,COc1cc(Nc2c(C#N)cnc3cc4cc(OCCN5CCOCC5)c(OC)cc4cc23)c(Cl)cc1Cl,CHEMBL195029,4.698970004336019
42,COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2,CHEMBL120077,4.0
43,Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,CHEMBL259551,5.721246399047171
44,Nc1nn(CCO)c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,CHEMBL369976,5.292429823902063
45,C=CCn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,CHEMBL199395,6.251811972993799
46,Cn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,CHEMBL370379,5.853871964321762
47,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1,CHEMBL383104,6.552841968657781
48,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)[C@@H](C)c3ccc4ccccc4c3)c2C1,CHEMBL380946,6.42021640338319
49,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,CHEMBL383541,4.891096872332687
50,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,6.431798275933005
51,COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1,CHEMBL606964,4.899629454882437
52,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,CHEMBL383541,4.891096872332687
53,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,6.431798275933005
54,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,CHEMBL383264,6.040958607678906
55,Cc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,CHEMBL207228,4.301029995663981
56,Cn1nc(C(F)(F)F)c2c(=O)c3cc(Cl)ccc3n(O)c21,CHEMBL207400,4.301029995663981
57,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1,CHEMBL437885,5.0
58,COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,CHEMBL207815,5.0
59,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1,CHEMBL425601,5.0
60,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C)C1,CHEMBL207718,5.0
61,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C(C)C)CC1,CHEMBL383246,5.0
62,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1,CHEMBL207130,5.0
63,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O,CHEMBL380889,5.0
64,COCC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,CHEMBL207445,5.0
65,COC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,CHEMBL379905,5.0
66,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CO)C(N)=O,CHEMBL208286,5.0
